Court,State,Judge,Tdecisions,Pgrant,Pother,Pdeny
Los Angeles - North,California,"Travieso, Frank M.",1396,12.1,1.1,86.8
Los Angeles - North,California,"Left, James M.",580,17.4,1.9,80.7
Los Angeles - North,California,"Hsu, Lily C",1017,21.5,0.6,77.9
Los Angeles - North,California,"Aina, Nathan N.",657,28.5,3,68.5
Los Angeles - North,California,"Maury, Carlos E.",149,38.3,7.4,54.4
,,,,,,
Los Fresnos,Texas,"Baumgarten, Mary C.",150,3.3,0.7,96
Los Fresnos,Texas,"Powell, Robert L.",108,6.5,0,93.5
Los Fresnos,Texas,"Onyewuchi, Morris I.",404,5,2,93.1
Los Fresnos,Texas,"Hable, Paul A.",260,4.2,4.2,91.5
Los Fresnos,Texas,"Crews, John G.",184,7.1,2.2,90.8
Los Fresnos,Texas,"Pimentel, Frank T.",466,9.7,2.1,88.2
Los Fresnos,Texas,"Hoover, Forrest W., III",181,21.5,0,78.5
Los Fresnos,Texas,"Cigarroa, Barbara",240,23.3,2.1,74.6
,,,,,,
Lumpkin,Georgia,"Fuller, Steven B.",112,3.6,4.5,92
Lumpkin,Georgia,"Duncan, Randall",281,8.5,1.1,90.4
Lumpkin,Georgia,"Criss, Scott D.",456,13.2,0.4,86.4
Lumpkin,Georgia,"Brown, Bianca, H",157,11.5,3.2,85.4
Lumpkin,Georgia,"Trimble, Dan",343,13.4,2.3,84.3
Lumpkin,Georgia,"Nance, Jeffery R.",175,11.4,5.7,82.9
Lumpkin,Georgia,"Rothschild, Jerome M., Jr.",183,20.2,4.9,74.9
,,,,,,
Memphis,Tennessee,"Miles, Vernon Benet",477,2.7,0.4,96.9
Memphis,Tennessee,"Hansell, Renae M.",673,4.3,0.6,95.1
Memphis,Tennessee,"Kinnicutt, Daniel P.",100,6,1,93
Memphis,Tennessee,"Johnson, Kelly S.",220,6.8,1.8,91.4
